#Frame      Mode1    Mode2    Mode3
     276  -44.876  -62.208   44.207
     277  -62.318  -51.731   61.984
     278  -51.576  -58.172   52.537
     279  -47.388  -56.308   43.385
     280  -43.617  -61.158   41.814
     281  -51.533  -48.251   46.087
     282  -41.143  -55.280   45.749
     283  -47.151  -53.851   50.461
     284  -39.322  -46.787   35.617
     285  -35.085  -64.933   47.162
     286  -64.064  -33.024   39.671
     287  -62.796  -33.606   49.108
     288  -76.005  -29.811   38.870
     289  -62.884  -46.209   48.955
     290  -53.310  -42.867   51.193
     291  -53.203  -44.689   51.845
     292  -54.920  -43.013   41.355
     293  -55.258  -36.595   52.284
     294  -62.265  -33.628   42.193
     295  -58.575  -47.771   25.551
     296  -38.122  -55.614   39.247
     297  -36.111  -56.952   33.794
     298  -34.595  -64.263   38.850
     299  -59.354  -37.360   46.913
     300  -42.441  -54.692   44.121
     301  -60.193  -34.935   44.190
     302  -63.357  -48.859   28.319
     303  -71.111  -46.003   22.119
     304  -62.258  -51.155   26.781
     305  -56.896  -45.602   38.693
     306  -51.144  -41.711   40.854
     307  -63.569  -38.244   36.053
     308  -58.815  -50.145   28.106
     309  -62.603  -41.530   40.673
     310  -50.821  -27.966   45.133
     311  -42.552  -34.869   43.683
     312  -45.146  -44.798   39.690
     313  -41.999  -44.382   31.172
     314  -39.867  -49.198   44.700
     315  -44.519  -54.521   32.594
     316  -55.294  -54.065   38.423
     317  -50.753  -53.591   27.976
     318  -44.966  -57.754   35.757
     319  -32.917  -48.422   35.175
     320  -45.740  -46.060   36.946
     321  -20.862  -62.954   31.929
     322  -10.251  -68.762   33.969
     323  -38.333  -54.121   29.129
     324  -61.190  -41.934   33.243
     325  -55.242  -46.846   22.263
     326  -32.250  -66.735   21.489
     327  -29.602  -67.640   38.272
     328  -24.046  -64.549   36.894
     329   -4.728  -75.278   38.155
     330  -15.919  -66.393   40.910
     331  -35.744  -59.209   49.273
     332  -24.625  -61.875   38.872
     333  -11.524  -68.404   35.252
     334  -53.407  -48.956   44.801
     335  -37.632  -52.429   29.300
     336  -52.007  -50.143   34.996
     337  -50.477  -51.848   38.735
     338  -45.088  -62.662   32.113
     339  -56.226  -56.399   32.442
     340  -65.804  -50.940   32.469
     341  -55.449  -61.902   31.607
     342  -44.122  -53.009   42.915
     343  -54.764  -53.788   27.920
     344  -55.027  -42.222   44.804
     345  -43.388  -52.388   41.129
     346  -49.097  -45.297   41.165
     347  -60.686  -41.994   43.678
     348  -61.056  -55.344   25.450
     349  -39.202  -52.610   35.673
     350  -48.884  -42.153   48.502
     351  -61.490  -36.914   43.291
     352  -62.593  -46.277   31.983
     353  -67.509  -44.849   30.253
     354  -82.310  -28.551   43.946
     355  -51.122  -29.937   48.425
     356  -54.348  -32.377   42.586
     357  -39.481  -44.596   29.110
     358  -59.092  -40.145   35.817
     359  -57.172  -22.053   56.273
     360  -53.420  -18.456   51.427
     361  -53.227  -22.880   48.802
     362  -39.350  -44.597   60.802
     363  -40.494  -35.526   53.229
     364  -51.038  -36.273   43.423
     365  -45.381  -32.754   56.403
     366  -35.930  -36.916   48.221
     367  -57.296  -33.934   50.539
     368  -36.987  -51.847   37.770
     369  -61.168  -28.815   42.303
     370  -48.748  -34.373   59.248
     371  -40.829  -42.310   44.336
     372  -45.508  -43.690   50.977
     373  -51.300  -37.300   43.657
     374  -41.970  -38.070   31.955
     375  -53.148  -30.921   41.287
     376  -55.686  -27.224   39.055
     377  -54.431  -32.716   33.713
     378  -51.381  -29.456   57.925
     379  -35.316  -45.845   42.688
     380  -51.791  -41.299   40.234
     381  -57.228  -30.476   39.328
     382  -51.050  -27.524   39.238
     383  -44.661  -30.566   44.005
     384  -39.887  -44.339   33.476
     385  -37.577  -51.675   35.232
     386  -30.940  -50.148   41.616
     387  -52.291  -37.515   41.448
     388  -77.015  -23.481   51.384
     389  -50.524  -33.728   49.410
     390  -40.664  -46.153   46.884
     391  -59.749  -26.895   61.802
     392  -50.796  -35.378   46.902
     393  -56.344  -41.762   52.585
     394  -54.215  -41.318   50.425
     395  -51.321  -43.190   29.831
     396  -53.277  -41.544   20.694
     397  -68.443  -34.758   29.923
     398  -76.913  -25.485   27.487
     399  -62.156  -29.717   42.421
     400  -58.687  -26.559   58.247
     401  -52.651  -35.447   56.070
     402  -54.693  -39.989   44.480
     403  -57.146  -35.103   50.418
     404  -55.398  -34.683   43.011
     405  -55.395  -38.510   45.129
     406  -53.267  -51.266   31.287
     407  -59.359  -46.845   22.465
     408  -76.911  -22.767   43.874
     409  -75.284  -17.350   31.826
     410  -65.370  -26.665   53.265
     411  -71.336  -37.317   44.584
     412  -61.297  -33.273   55.567
     413  -94.335  -14.165   54.103
     414  -78.091  -30.901   45.328
     415  -79.354  -30.374   38.740
     416  -76.705  -27.751   38.667
     417  -84.967  -26.584   33.170
     418  -56.330  -49.927   39.690
     419  -62.335  -38.188   37.118
     420  -54.849  -48.667   19.171
     421  -58.283  -31.985   23.783
     422  -58.191  -30.132   36.060
     423  -74.231  -43.704   39.430
     424  -78.458  -38.150   26.353
     425  -74.882  -41.908   27.877
     426  -60.099  -39.393   43.585
     427  -63.511  -39.961   39.911
     428  -77.454  -34.547   28.663
     429  -68.199  -34.484   34.365
     430  -82.012  -43.459   25.296
     431  -96.395  -33.359   34.573
     432  -84.441  -33.735   26.069
     433  -86.171  -27.087   38.059
     434  -90.050  -21.630   18.059
     435  -74.722  -27.316   39.299
     436  -70.031  -26.905   42.806
     437  -64.988  -30.480   43.576
     438  -67.908  -28.004   36.526
     439  -79.841  -28.030   26.549
     440  -67.768  -36.100   23.191
     441  -68.941  -28.890   17.284
     442  -72.831  -26.907   12.574
     443  -54.511  -48.684   16.387
     444  -75.599  -41.567   25.260
     445  -76.580  -24.992   38.701
     446  -82.046  -31.142   38.014
     447  -82.965  -24.672   41.376
     448  -73.889  -30.730   25.021
     449  -87.855  -26.889   29.191
     450  -92.540  -30.459   15.415
     451  -69.955  -33.601   35.557
     452  -80.816  -37.446   15.754
     453  -77.163  -33.771   23.757
     454  -87.666  -26.660   34.176
     455  -76.607  -26.497   33.659
     456  -72.773  -30.791   34.125
     457  -89.452  -21.415   40.088
     458  -90.541  -27.006   27.593
     459  -84.563  -27.903   21.409
     460  -81.799  -24.321   30.620
     461  -72.387  -30.281   19.943
     462  -52.353  -41.444   25.926
     463  -66.734  -20.305   38.288
     464  -73.909  -31.270   24.565
     465  -77.834  -34.382   21.771
     466  -53.324  -35.298   26.438
     467  -63.752  -28.377   29.655
     468  -65.525  -47.308   24.396
     469  -58.603  -47.525   26.974
     470  -57.785  -48.046   28.580
     471  -72.650  -44.393   21.770
     472  -60.703  -31.810   26.582
     473  -82.930  -27.061   18.699
     474  -93.770  -17.095   29.892
     475  -76.381  -25.463   23.461
     476  -93.660  -24.676   15.923
     477  -77.407  -37.304    2.120
     478  -69.399  -35.212    9.716
     479  -70.144  -34.437   18.043
     480  -81.157  -36.625   16.772
     481  -80.463  -28.065   19.129
     482  -79.029  -24.936   20.806
     483  -72.634  -29.103   17.361
     484  -66.725  -38.015   13.027
     485  -51.888  -41.413   17.467
     486  -61.111  -45.534   15.476
     487  -72.954  -37.678   18.456
     488  -40.865  -47.306   23.869
     489  -34.970  -61.230   33.286
     490  -30.635  -54.542   36.115
     491  -57.891  -41.327   34.835
     492  -56.671  -38.276   32.109
     493  -50.933  -53.088   16.458
     494  -63.280  -32.889   27.069
     495  -69.919  -24.509   41.936
     496  -52.172  -42.565   32.065
     497  -47.373  -39.301   45.120
     498  -33.499  -54.328   19.800
     499  -45.064  -52.400   15.586
     500  -36.911  -47.450   30.193
     501  -34.708  -44.850   41.110
     502  -18.040  -58.456   45.517
     503  -42.449  -48.954   42.258
     504  -48.719  -54.287   31.364
     505  -54.012  -55.277   23.585
     506  -19.859  -57.490   22.392
     507  -41.101  -57.348   16.923
     508  -42.754  -44.926   26.238
     509  -32.483  -42.185   33.918
     510  -39.699  -38.597   36.106
     511  -39.577  -48.968   24.829
     512  -53.506  -41.668   17.024
     513  -44.204  -32.785   37.291
     514  -22.383  -61.314   18.811
     515  -47.006  -51.545   21.035
     516  -45.792  -45.519   31.127
     517  -42.065  -46.915   26.315
     518  -48.837  -49.435   22.584
     519  -57.138  -40.836   26.734
     520  -70.869  -36.113   24.831
     521  -45.236  -48.814   27.038
     522  -36.571  -53.686   29.536
     523  -54.232  -57.923   23.685
     524  -40.449  -55.135   28.712
     525  -54.244  -38.860   31.041
     526  -55.836  -44.936   25.464
     527  -47.256  -57.768   18.184
     528  -57.691  -44.355   11.155
     529  -50.929  -44.138   13.786
     530  -75.563  -36.643   19.695
     531  -72.148  -48.240   14.045
     532  -92.493  -20.403   20.541
     533  -82.912  -29.011   21.422
     534  -89.935  -18.347   27.143
     535  -67.430  -37.902   17.576
     536  -80.096  -36.358   13.066
     537  -77.823  -31.420   12.111
     538  -76.734  -30.454   23.078
     539  -56.859  -42.125   30.951
     540  -50.750  -44.628   29.078
     541  -59.529  -33.976   27.121
     542  -62.128  -31.391   26.642
     543  -63.828  -29.424   27.439
     544  -75.787  -28.953   24.059
     545  -76.962  -32.824   20.465
     546  -67.055  -35.654   20.734
     547  -58.737  -29.848   31.092
     548  -67.316  -42.719   11.330
     549  -68.819  -33.411   12.925
     550  -76.987  -21.169   28.294
     551  -88.030  -19.165   25.313
     552  -78.156  -26.210   13.756
     553  -71.122  -19.220   19.538
     554  -61.318  -33.285   17.502
     555  -56.674  -50.403   24.534
     556  -46.507  -50.300   13.773
     557  -36.748  -36.900   21.049
     558  -36.867  -46.448   -6.372
     559  -41.431  -40.140    1.560
     560  -55.989  -32.093   19.801
     561  -28.599  -33.275   21.738
     562  -34.523  -40.111   14.853
     563  -34.780  -28.607   29.197
     564  -25.612  -46.104   30.098
     565  -51.894  -23.103   22.188
     566  -56.960  -18.816   19.015
     567  -45.771  -21.038   12.292
     568  -39.335  -31.943   17.920
     569  -55.578  -13.124   20.902
     570  -76.686   -2.891   13.600
     571  -83.093    3.274    8.116
     572  -46.931  -30.933    7.436
     573  -63.607  -20.651   12.097
     574  -60.140  -20.830    9.989
     575  -68.811  -15.408   35.011
     576  -72.852  -18.659   19.915
     577  -50.800  -24.424   11.179
     578  -42.500  -45.247   17.674
     579  -15.301  -66.149    8.703
     580  -33.709  -45.055    3.766
     581  -29.176  -39.035   23.052
     582  -55.059  -39.908   24.477
     583  -66.843  -19.404   32.178
     584  -61.240  -11.032   29.103
     585  -58.410  -21.566   36.540
     586  -60.418  -14.847   32.704
     587  -53.164  -20.391   19.322
     588  -49.612  -31.600   21.163
     589  -40.445  -41.283    0.251
     590  -36.933  -24.409   27.648
     591  -41.845  -40.073   17.417
     592  -40.479  -27.151   27.698
     593  -45.000  -27.952   30.670
     594  -58.851  -20.058   36.552
     595  -47.512  -36.529   30.675
     596  -59.885  -18.599   33.352
     597  -65.500  -21.247   28.145
     598  -57.945  -35.144   41.129
     599  -74.809  -38.168   27.109
     600  -63.095  -36.345   23.536
     601  -68.276  -42.335    5.380
     602  -71.233  -36.408    8.223
     603  -54.311  -29.268   25.138
     604  -58.537  -23.155   26.299
     605  -52.635  -30.391   17.505
     606  -83.158  -21.943   18.946
     607  -72.633  -26.313    8.932
     608  -71.099  -38.828    7.859
     609  -44.548  -47.457   14.940
     610  -44.944  -57.305    7.903
     611  -59.837  -53.014   15.627
     612  -65.901  -37.877   22.164
     613  -57.638  -35.716   19.143
     614  -51.909  -42.899   20.717
     615  -45.426  -42.138   17.490
     616  -52.702  -42.547    6.205
     617  -55.641  -47.482    8.428
     618  -59.042  -33.140   18.982
     619  -67.183  -28.943   13.421
     620  -63.598  -27.650   14.404
     621  -60.297  -43.028   15.549
     622  -51.741  -46.489   12.229
     623  -81.567  -25.033   19.075
     624  -72.017  -28.606   12.183
     625  -61.662  -34.252    9.053
     626  -78.473  -29.235    4.819
     627  -81.878  -24.507   13.512
     628  -75.961  -31.506    7.598
     629  -84.529  -25.355    0.388
     630  -63.817  -30.670    5.786
     631  -79.186  -15.942    3.101
     632  -70.833  -16.712   -0.060
     633  -73.335  -21.664    7.047
     634  -76.805  -28.150    6.557
     635  -68.521  -23.054   10.934
     636  -72.521  -19.059   11.796
     637  -50.573  -27.459   23.149
     638  -66.830  -21.031   24.983
     639  -59.885  -22.689   19.211
     640  -43.884  -38.516   24.095
     641  -51.939  -38.853   18.055
     642  -49.520  -23.338   13.840
     643  -25.523  -44.323    5.912
     644  -26.886  -46.484   -1.632
     645  -32.663  -50.717   -3.135
     646  -56.053  -29.606    6.380
     647  -69.387  -27.563    4.536
     648  -46.439  -41.237    4.302
     649  -48.339  -43.964   11.389
     650  -56.300  -29.708   16.605
     651  -48.601  -34.611   19.038
     652  -54.813  -40.016   15.484
     653  -38.276  -38.183   17.279
     654  -43.689  -48.598   -6.336
     655  -50.706  -44.774   10.464
     656  -60.251  -37.177    8.843
     657  -56.657  -42.381    4.864
     658  -57.044  -45.770   -6.656
     659  -52.881  -32.159   27.613
     660  -54.389  -34.516   14.949
     661  -40.729  -41.016    7.784
     662  -29.508  -35.873   23.831
     663  -33.060  -37.720   15.566
     664  -44.858  -33.039   21.554
     665  -56.915  -24.803   24.772
     666  -52.940  -31.045   17.488
     667  -46.289  -25.779   11.214
     668  -33.910  -33.213   26.238
     669  -27.245  -37.557   31.941
     670  -42.160  -21.653   25.817
     671  -47.581  -26.254   21.306
     672  -52.114  -18.511   15.560
     673  -47.769  -20.918   21.396
     674  -43.530  -14.126   25.835
     675  -59.916  -16.512   26.247
     676  -51.543  -24.012   13.896
     677  -52.619  -25.886    4.375
     678  -50.014  -14.473   20.373
     679  -65.758  -15.117   14.061
