['./validate_dock_another_target_gB_dA/record_151.pdbqt', -7.12]
['./validate_dock_another_target_gB_dA/record_152.pdbqt', -7.05]
['./validate_dock_another_target_gB_dA/record_153.pdbqt', -6.81]
['./validate_dock_another_target_gB_dA/record_154.pdbqt', -6.52]
['./validate_dock_another_target_gB_dA/record_155.pdbqt', -6.61]
['./validate_dock_another_target_gB_dA/record_156.pdbqt', -6.77]
['./validate_dock_another_target_gB_dA/record_157.pdbqt', -6.7]
['./validate_dock_another_target_gB_dA/record_158.pdbqt', -6.47]
['./validate_dock_another_target_gB_dA/record_159.pdbqt', -6.59]
['./validate_dock_another_target_gB_dA/record_160.pdbqt', -6.59]
['./validate_dock_another_target_gB_dA/record_161.pdbqt', -6.82]
['./validate_dock_another_target_gB_dA/record_162.pdbqt', -6.61]
['./validate_dock_another_target_gB_dA/record_163.pdbqt', -6.15]
['./validate_dock_another_target_gB_dA/record_164.pdbqt', -6.56]
['./validate_dock_another_target_gB_dA/record_165.pdbqt', -7.44]
['./validate_dock_another_target_gB_dA/record_166.pdbqt', -6.93]
['./validate_dock_another_target_gB_dA/record_167.pdbqt', -7.6]
['./validate_dock_another_target_gB_dA/record_168.pdbqt', -6.66]
['./validate_dock_another_target_gB_dA/record_169.pdbqt', -6.57]
['./validate_dock_another_target_gB_dA/record_170.pdbqt', -6.65]
['./validate_dock_another_target_gB_dA/record_171.pdbqt', -6.64]
['./validate_dock_another_target_gB_dA/record_172.pdbqt', -6.55]
['./validate_dock_another_target_gB_dA/record_173.pdbqt', -6.71]
['./validate_dock_another_target_gB_dA/record_174.pdbqt', -6.55]
['./validate_dock_another_target_gB_dA/record_175.pdbqt', -6.49]
['./validate_dock_another_target_gB_dA/record_176.pdbqt', -6.47]
['./validate_dock_another_target_gB_dA/record_177.pdbqt', -6.35]
['./validate_dock_another_target_gB_dA/record_178.pdbqt', -6.43]
['./validate_dock_another_target_gB_dA/record_179.pdbqt', -6.61]
['./validate_dock_another_target_gB_dA/record_180.pdbqt', -8.06]
['./validate_dock_another_target_gB_dA/record_181.pdbqt', -7.67]
['./validate_dock_another_target_gB_dA/record_182.pdbqt', -8.13]
['./validate_dock_another_target_gB_dA/record_183.pdbqt', -8.26]
['./validate_dock_another_target_gB_dA/record_184.pdbqt', -7.6]
['./validate_dock_another_target_gB_dA/record_185.pdbqt', -7.42]
['./validate_dock_another_target_gB_dA/record_186.pdbqt', -7.38]
['./validate_dock_another_target_gB_dA/record_187.pdbqt', -7.66]
['./validate_dock_another_target_gB_dA/record_188.pdbqt', -7.0]
['./validate_dock_another_target_gB_dA/record_189.pdbqt', -7.01]
['./validate_dock_another_target_gB_dA/record_190.pdbqt', -7.01]
['./validate_dock_another_target_gB_dA/record_191.pdbqt', -7.6]
['./validate_dock_another_target_gB_dA/record_192.pdbqt', -7.26]
['./validate_dock_another_target_gB_dA/record_193.pdbqt', -7.28]
['./validate_dock_another_target_gB_dA/record_194.pdbqt', -7.35]
['./validate_dock_another_target_gB_dA/record_195.pdbqt', -7.45]
['./validate_dock_another_target_gB_dA/record_196.pdbqt', -7.04]
['./validate_dock_another_target_gB_dA/record_197.pdbqt', -6.62]
['./validate_dock_another_target_gB_dA/record_198.pdbqt', -6.98]
['./validate_dock_another_target_gB_dA/record_199.pdbqt', -7.05]
['./validate_dock_another_target_gB_dA/record_200.pdbqt', -6.88]
['./validate_dock_another_target_gB_dA/record_201.pdbqt', -6.99]
['./validate_dock_another_target_gB_dA/record_202.pdbqt', -7.28]
['./validate_dock_another_target_gB_dA/record_203.pdbqt', -6.57]
['./validate_dock_another_target_gB_dA/record_204.pdbqt', -7.07]
['./validate_dock_another_target_gB_dA/record_205.pdbqt', -6.82]
['./validate_dock_another_target_gB_dA/record_206.pdbqt', -6.8]
['./validate_dock_another_target_gB_dA/record_207.pdbqt', -6.88]
['./validate_dock_another_target_gB_dA/record_208.pdbqt', -6.83]
['./validate_dock_another_target_gB_dA/record_209.pdbqt', -6.92]
['./validate_dock_another_target_gB_dA/record_210.pdbqt', -8.01]
['./validate_dock_another_target_gB_dA/record_211.pdbqt', -7.55]
['./validate_dock_another_target_gB_dA/record_212.pdbqt', -7.54]
['./validate_dock_another_target_gB_dA/record_213.pdbqt', -6.32]
['./validate_dock_another_target_gB_dA/record_214.pdbqt', -6.45]
['./validate_dock_another_target_gB_dA/record_215.pdbqt', -6.21]
['./validate_dock_another_target_gB_dA/record_216.pdbqt', -7.26]
['./validate_dock_another_target_gB_dA/record_217.pdbqt', -8.56]
['./validate_dock_another_target_gB_dA/record_218.pdbqt', -7.08]
['./validate_dock_another_target_gB_dA/record_219.pdbqt', -8.3]
['./validate_dock_another_target_gB_dA/record_220.pdbqt', -7.7]
['./validate_dock_another_target_gB_dA/record_221.pdbqt', -8.11]
['./validate_dock_another_target_gB_dA/record_222.pdbqt', -8.1]
['./validate_dock_another_target_gB_dA/record_223.pdbqt', -7.82]
['./validate_dock_another_target_gB_dA/record_224.pdbqt', -7.73]
['./validate_dock_another_target_gB_dA/record_225.pdbqt', -7.69]
['./validate_dock_another_target_gB_dA/record_226.pdbqt', -7.71]
['./validate_dock_another_target_gB_dA/record_227.pdbqt', -8.47]
['./validate_dock_another_target_gB_dA/record_228.pdbqt', -7.62]
['./validate_dock_another_target_gB_dA/record_229.pdbqt', -7.3]
['./validate_dock_another_target_gB_dA/record_230.pdbqt', -6.73]
