['./validate_dock_another_target/record_296.pdbqt', -6.06]
['./validate_dock_another_target/record_297.pdbqt', -6.35]
['./validate_dock_another_target/record_298.pdbqt', -5.88]
['./validate_dock_another_target/record_299.pdbqt', -7.11]
['./validate_dock_another_target/record_300.pdbqt', -7.32]
['./validate_dock_another_target/record_301.pdbqt', -7.12]
['./validate_dock_another_target/record_302.pdbqt', -7.28]
['./validate_dock_another_target/record_303.pdbqt', -7.15]
['./validate_dock_another_target/record_304.pdbqt', -6.79]
['./validate_dock_another_target/record_305.pdbqt', -7.37]
['./validate_dock_another_target/record_306.pdbqt', -6.91]
['./validate_dock_another_target/record_307.pdbqt', -6.36]
['./validate_dock_another_target/record_308.pdbqt', -6.66]
['./validate_dock_another_target/record_309.pdbqt', -7.01]
['./validate_dock_another_target/record_310.pdbqt', -6.32]
['./validate_dock_another_target/record_311.pdbqt', -6.67]
['./validate_dock_another_target/record_312.pdbqt', -6.31]
['./validate_dock_another_target/record_313.pdbqt', -6.16]
['./validate_dock_another_target/record_314.pdbqt', -6.75]
['./validate_dock_another_target/record_315.pdbqt', -6.44]
['./validate_dock_another_target/record_316.pdbqt', -6.3]
['./validate_dock_another_target/record_317.pdbqt', -5.99]
['./validate_dock_another_target/record_318.pdbqt', -6.51]
['./validate_dock_another_target/record_319.pdbqt', -6.65]
['./validate_dock_another_target/record_320.pdbqt', -6.51]
['./validate_dock_another_target/record_321.pdbqt', -7.62]
['./validate_dock_another_target/record_322.pdbqt', -6.09]
['./validate_dock_another_target/record_323.pdbqt', -6.02]
['./validate_dock_another_target/record_324.pdbqt', -6.01]
['./validate_dock_another_target/record_325.pdbqt', -6.02]
['./validate_dock_another_target/record_326.pdbqt', -6.92]
['./validate_dock_another_target/record_327.pdbqt', -6.88]
['./validate_dock_another_target/record_328.pdbqt', -7.42]
['./validate_dock_another_target/record_329.pdbqt', -7.87]
['./validate_dock_another_target/record_330.pdbqt', -6.48]
['./validate_dock_another_target/record_331.pdbqt', -7.8]
['./validate_dock_another_target/record_332.pdbqt', -7.93]
['./validate_dock_another_target/record_333.pdbqt', -7.21]
['./validate_dock_another_target/record_334.pdbqt', -8.4]
['./validate_dock_another_target/record_335.pdbqt', -7.83]
['./validate_dock_another_target/record_336.pdbqt', -7.89]
['./validate_dock_another_target/record_337.pdbqt', -7.73]
['./validate_dock_another_target/record_338.pdbqt', -8.11]
['./validate_dock_another_target/record_339.pdbqt', -7.72]
['./validate_dock_another_target/record_340.pdbqt', -8.06]
['./validate_dock_another_target/record_341.pdbqt', -7.56]
['./validate_dock_another_target/record_342.pdbqt', -7.86]
['./validate_dock_another_target/record_343.pdbqt', -7.51]
['./validate_dock_another_target/record_344.pdbqt', -6.67]
['./validate_dock_another_target/record_345.pdbqt', -7.66]
['./validate_dock_another_target/record_346.pdbqt', -7.45]
['./validate_dock_another_target/record_347.pdbqt', -6.58]
['./validate_dock_another_target/record_348.pdbqt', -6.88]
['./validate_dock_another_target/record_349.pdbqt', -6.47]
['./validate_dock_another_target/record_350.pdbqt', -7.05]
['./validate_dock_another_target/record_351.pdbqt', -6.73]
['./validate_dock_another_target/record_352.pdbqt', -6.61]
['./validate_dock_another_target/record_353.pdbqt', -7.06]
['./validate_dock_another_target/record_354.pdbqt', -6.99]
['./validate_dock_another_target/record_355.pdbqt', -7.13]
['./validate_dock_another_target/record_356.pdbqt', -7.0]
['./validate_dock_another_target/record_357.pdbqt', -6.37]
['./validate_dock_another_target/record_358.pdbqt', -6.71]
['./validate_dock_another_target/record_359.pdbqt', -7.42]
['./validate_dock_another_target/record_360.pdbqt', -6.5]
['./validate_dock_another_target/record_361.pdbqt', -6.74]
['./validate_dock_another_target/record_362.pdbqt', -7.64]
['./validate_dock_another_target/record_363.pdbqt', -7.4]
['./validate_dock_another_target/record_364.pdbqt', -7.61]
['./validate_dock_another_target/record_365.pdbqt', -6.92]
['./validate_dock_another_target/record_366.pdbqt', -6.69]
['./validate_dock_another_target/record_367.pdbqt', -7.41]
